=== Environment ===
hpcc-gpu-5-4
0, Quadro RTX 6000, 23040 MiB
1, Quadro RTX 6000, 23040 MiB
2, Quadro RTX 6000, 23040 MiB
3, Quadro RTX 6000, 23040 MiB
=== GPU state: start ===
index, name, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
0, Quadro RTX 6000, 27, 300 MHz, 405 MHz, 10.82 W, 0 %, 0 MiB
1, Quadro RTX 6000, 32, 300 MHz, 405 MHz, 6.54 W, 0 %, 0 MiB
2, Quadro RTX 6000, 28, 300 MHz, 405 MHz, 4.75 W, 0 %, 0 MiB
3, Quadro RTX 6000, 28, 300 MHz, 405 MHz, 7.18 W, 0 %, 0 MiB
min_bytes=4KB
max_bytes=32MB
iters=50
warmup=10
rank_list=2 4
backends=host_pinned device
=== Build alpha_beta_bench ===
mkdir -p build_mpi_alpha_beta_88903
nvcc -arch=sm_75 -std=c++17 -O2 -Iinclude --default-stream per-thread -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/math_libs/12.3/targets/x86_64-linux/include   -DUSE_MPI -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/hwloc/hwloc201/hwloc/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent/include -Xcompiler -pthread -Xcompiler -fopenmp -DUSE_NCCL -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/include -c tests/benchmark_allreduce_alpha_beta.cu -o build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta.o
mpicxx -o build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta.o -pthread -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,-rpath -Wl,/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,--enable-new-dtags -lmpi -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/REDIST/cuda/12.3/targets/x86_64-linux/lib -lcudart \
    -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -Xlinker -rpath -Xlinker /home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -lnccl  -fopenmp
=== allreduce_alpha_beta ranks=2 backend=host_pinned min_bytes=4KB max_bytes=32MB iters=50 warmup=10 ===
allreduce_alpha_beta,backend,ranks,bytes,count,iteration,time_ms
allreduce_alpha_beta,host_pinned,2,16384,4096,7,0.018125
allreduce_alpha_beta,host_pinned,2,16384,4096,8,0.020138
allreduce_alpha_beta,host_pinned,2,16384,4096,9,0.018545
allreduce_alpha_beta,host_pinned,2,16384,4096,10,0.019667
allreduce_alpha_beta,host_pinned,2,16384,4096,11,0.019918
allreduce_alpha_beta,host_pinned,2,16384,4096,12,0.016671
allreduce_alpha_beta,host_pinned,2,16384,4096,13,0.018355
allreduce_alpha_beta,host_pinned,2,16384,4096,14,0.014017
allreduce_alpha_beta,host_pinned,2,16384,4096,15,0.017553
allreduce_alpha_beta,host_pinned,2,16384,4096,16,0.018295
allreduce_alpha_beta,host_pinned,2,16384,4096,17,0.020749
allreduce_alpha_beta,host_pinned,2,16384,4096,18,0.020198
allreduce_alpha_beta,host_pinned,2,16384,4096,19,0.015549
allreduce_alpha_beta,host_pinned,2,16384,4096,20,0.014628
allreduce_alpha_beta,host_pinned,2,16384,4096,21,0.016051
allreduce_alpha_beta,host_pinned,2,16384,4096,22,0.019727
allreduce_alpha_beta,host_pinned,2,16384,4096,23,0.018906
allreduce_alpha_beta,host_pinned,2,16384,4096,24,0.018846
allreduce_alpha_beta,host_pinned,2,16384,4096,25,0.016892
allreduce_alpha_beta,host_pinned,2,16384,4096,26,0.014267
allreduce_alpha_beta,host_pinned,2,16384,4096,27,0.017423
allreduce_alpha_beta,host_pinned,2,16384,4096,28,0.021151
allreduce_alpha_beta,host_pinned,2,16384,4096,29,0.019197
allreduce_alpha_beta,host_pinned,2,16384,4096,30,0.015880
allreduce_alpha_beta,host_pinned,2,16384,4096,31,0.015950
allreduce_alpha_beta,host_pinned,2,16384,4096,32,0.019487
allreduce_alpha_beta,host_pinned,2,16384,4096,33,0.017243
allreduce_alpha_beta,host_pinned,2,16384,4096,34,0.026360
allreduce_alpha_beta,host_pinned,2,16384,4096,35,0.014748
allreduce_alpha_beta,host_pinned,2,16384,4096,36,0.015319
allreduce_alpha_beta,host_pinned,2,16384,4096,37,0.014447
allreduce_alpha_beta,host_pinned,2,16384,4096,38,0.020920
allreduce_alpha_beta,host_pinned,2,16384,4096,39,0.018705
allreduce_alpha_beta,host_pinned,2,16384,4096,40,0.018395
allreduce_alpha_beta,host_pinned,2,16384,4096,41,0.013485
allreduce_alpha_beta,host_pinned,2,16384,4096,42,0.014918
allreduce_alpha_beta,host_pinned,2,16384,4096,43,0.015589
allreduce_alpha_beta,host_pinned,2,16384,4096,44,0.017523
allreduce_alpha_beta,host_pinned,2,16384,4096,45,0.018755
allreduce_alpha_beta,host_pinned,2,16384,4096,46,0.013516
allreduce_alpha_beta,host_pinned,2,16384,4096,47,0.013445
allreduce_alpha_beta,host_pinned,2,16384,4096,48,0.014378
allreduce_alpha_beta,host_pinned,2,16384,4096,49,0.016361
allreduce_alpha_beta,host_pinned,2,16384,4096,50,0.019998
allreduce_alpha_beta,host_pinned,2,32768,8192,1,0.021731
allreduce_alpha_beta,host_pinned,2,32768,8192,2,0.030628
allreduce_alpha_beta,host_pinned,2,32768,8192,3,0.025989
allreduce_alpha_beta,host_pinned,2,32768,8192,4,0.025980
allreduce_alpha_beta,host_pinned,2,32768,8192,5,0.030859
allreduce_alpha_beta,host_pinned,2,32768,8192,6,0.026090
allreduce_alpha_beta,host_pinned,2,32768,8192,7,0.034305
allreduce_alpha_beta,host_pinned,2,32768,8192,8,0.025509
allreduce_alpha_beta,host_pinned,2,32768,8192,9,0.026731
